Project,Project_Short,Project_Area,DST_Area,Team,Language_Main,Language_Others,Language_Frameworks,Testing_Frameworks,Hosted,Messaging_Type,Containers,Architectures,Source_Control,Branching_Strategy,Repo,Static_Analysis,Code_Formatter,Package_Manager,Security_Tools,CICD,CICD_Orchestration,Monitoring,Datastores,Database_Technologies,Data_Output_Formats,Business_Dashboards,Integrations_ONS,Integrations_External,IAM_Services,Cloud_Services,Datasets_Used,Project_Tools,Other_Tools,Documentation,Languages_Adopt,Languages_Trial,Languages_Assess,Languages_Hold,Frameworks_Adopt,Frameworks_Trial,Frameworks_Assess,Frameworks_Hold,Infrastructure_Adopt,Infrastructure_Trial,Infrastructure_Assess,Infrastructure_Hold,CICD_Adopt,CICD_Trial,CICD_Assess,CICD_Hold
Survey Data Exchange,SDX,,Collection Ingestion,,Python,Python;VB6,,,GCP,PubSub,,,GitLab,,,,,,,Concourse,Kubernetes,GCP Stackdriver,,,pck;csv;jpeg;xlsx;json;dat,,,,,GCP Cloud Datastore;GCP Cloud Storage;GCP Cloud Functions,,,,https://confluence.ons.gov.uk/display/SDX/SDX+Home,Python;Python;VB6,,,,,,,,GCP Cloud Datastore;GCP Cloud Storage;GCP Cloud Functions;GCP Stackdriver,,,,Concourse,,,
Electronic Questionnaire,EQ,,Collection Ingestion,,Python,,,Selenium;webdriver.io,GCP,,Docker,,Github,,https://github.com/ONSdigital/eq-questionnaire-runner#readme�,,,,,Concourse,Kubernetes,Grafana,Redis;GCP Datastore,NoSQL,,,EQ Author;Responded Account Service;SDX,Slack,,GCP Cloud Run;GCP Bucket;GCP Cloud Task;GCP Cloud Functions;GCP Datastore;GCP DataFlow,,,,https://confluence.ons.gov.uk/display/SDC/00.+eQ+Overview,Python,,,,Selenium;webdriver.io,,,,Terraform;GCP Cloud Run;GCP Bucket;GCP Cloud Task;GCP Cloud Functions;GCP Datastore;GCP DataFlow;Docker;Grafana;Redis;GCP Datastore,,,,Concourse,,,
Blaise 5 Infrastructure,,,Collection Ingestion,,C#,Javascript;Go;Python,.NET API;React;NodeJS,Selenium,GCP,PubSub,,,Github,Environment,,,,,,Concourse;Azure DevOps,,,GCP Datastore,MySQL;SQLLite,,,Blaise5;Blaise4;Nisra;NIFI,,,GCP App Engine;GCP Cloud Functions;GCP Datastore,Labour Market Survey;National Wales Survey;Airport Survey;Wealth and Assets Survey;Cost of Living Survey,,nginx,,C#;Javascript;Go;Python,,,,.NET API;React;NodeJS;Selenium,,,,Terraform;GCP App Engine;GCP Cloud Functions;GCP Datastore;GCP Datastore;nginx,,,,Concourse;Azure DevOps,,,
Survey Response Management,SRM,,Collection Ingestion,,Python,Java;Go,aioHTTP;Python Flask,,GCP,PubSub,,Microservice,,,,,,,KMS,Concourse,,,,,,,Electronic Questionnaire;EQ Author,,,GCP Artifact Registry;GCP API Gateway,,,,https://confluence.ons.gov.uk/display/SDC/SRM,Python;Java;Go,,,,aioHTTP;Python Flask,,,,Terraform;GCP Artifact Registry;GCP API Gateway;KMS,,,,Concourse,,,
Respondent Account Service,RASRM,,Collection Ingestion,,Python,Java;Go,Python Flask,,GCP,PubSub,,Microservice,Github,,,,,,KMS,Concourse;Spinnaker;Jenkins,,Splunk,Postgres;GCP Datastore,,,,,,,GCP Container Registry,,Trello;Confluence,,https://confluence.ons.gov.uk/x/aZ8TAg,Python;Java;Go,,,,Python Flask,,,,Terraform;GCP Container Registry;KMS;Splunk;Postgres;GCP Datastore,,,,Concourse;Spinnaker;Jenkins,,,
VB6 120 Support,,Social Surveys,Collection Ingestion,,VB6,C#,Python Flask,,,,,,MS Sourcesafe,,,,,,,Jenkins,,,,MySQL,,,,,,,,,,,VB6;C#,,,,Python Flask,,,,,,,,Jenkins,,,
Statistical Production Platform Data Clearing,SPP,,Processing and Data Management,,Python,Go;Java,Python Flask;Spring,,AWS,GraphQL API,,Microservice,Github,,,,Black,,KMS,Concourse,,,Postgres,,,,,,,AWS Fargate,,Confluence,,https://confluence.ons.gov.uk/display/ESD/Statistical+Production+Platform,Python;Go;Java,,,,Python Flask;Spring,,,,Terraform;AWS Fargate;KMS;Postgres,,,,Concourse,,,
Statistical Production Platform Contributor Management,SPP,,Processing and Data Management,,Python,,,,AWS,,,Microservice,Github,,,,Black,,KMS,Concourse,,,,,,,IBM BAW,,,AWS Fargate,,Confluence,,https://confluence.ons.gov.uk/display/ESD/Statistical+Production+Platform,Python,,,,,,,,Terraform;AWS Fargate;KMS,,,,Concourse,,,
Statistical Production Platform Results,SPP,,Processing and Data Management,,Python,,pySpark,,AWS,,,Microservice,Github,,,,Black,,KMS,Concourse,,,Postgres,,,,,,,AWS Fargate,,Confluence,,https://confluence.ons.gov.uk/display/ESD/Statistical+Production+Platform,Python,,,,pySpark,,,,Terraform;AWS Fargate;KMS;Postgres,,,,Concourse,,,
Statistical Production Platform Shared Services,SPP,,Processing and Data Management,,Python,,,,AWS,,,Serverless,Github,,,,Black,,KMS,Concourse,,AWS Cloudwatch,DynamoDB,,,,,Slack,AWS Cognito,AWS Cognito,,Confluence,,https://confluence.ons.gov.uk/display/ESD/Statistical+Production+Platform,Python,,,,,,,,Terraform;AWS Cognito;AWS Cognito;KMS;AWS Cloudwatch;DynamoDB,,,,Concourse,,,
